target	cmpd	pPfam
P50579	F79	1.0
P50578	C2U	0.636363636364
P06213	GS3	0.681818181818
P55055	444	0.873198847262
P26918	IFS	0.75
P02866	MMA	0.65306122449
P25774	C1P	0.825033647376
P25779	QL2	0.714285714286
P0A6I3	PAU	0.0
P06746	AZT	0.0
P66937	CPF	0.5
Q13126	MTA	0.954545454545
P09382	TDG	0.5
P10721	STI	1.0
P23458	IZA	1.0
Q8WTS6	SFG	0.714285714286
P05543	T44	0.804347826087
P12821	EAL	1.0
Q8DNV6	2LG	1.0
Q8IL11	BES	1.0
P20248	4SP	0.0
P00750	BEN	0.875
P45568	FOM	0.922131147541
P29029	H35	0.0
Q02750	IZG	1.0
P52333	PJC	1.0
P02754	RTL	1.0
O75164	PD2	0.858858858859
Q16850	KKK	1.0
P54646	TAK	1.0
P54760	X9F	1.0
Q08499	CMP	0.263591433278
P56221	UNN	1.0
P05106	AGG	1.0
P17707	MAO	0.777777777778
P06865	NGT	0.915094339623
P28523	P04	1.0
P56817	AA9	0.698782857727
O15294	UDP	0.945205479452
P01375	307	0.53488372093
P07686	NGT	1.0
P13631	156	0.848484848485
P26769	FOK	1.0
P25098	BA1	1.0
P03372	CM3	0.951531227393
P11362	SU1	1.0
O14786	8DR	0.689655172414
P0AF14	TDI	1.0
P41148	ADP	0.876739562624
Q13946	IBM	1.0
Q01782	MTX	0.65625
P16184	DH1	1.0
P77173	CL3	0.0
Q02293	BMV	0.659574468085
P04058	THA	1.0
P16083	52X	1.0
P23589	AZM	1.0
P0A2Y6	FMN	1.0
Q8VHN2	GLY	0.0
P14743	MIM	0.866666666667
P11511	ASD	1.0
P08107	ATP	1.0
P00489	GL7	0.954819277108
P08069	LGW	0.99653288506
Q62986	AOE	0.647058823529
P23385	GLU	0.923076923077
P00480	PAO	1.0
P15735	B49	1.0
P0A4Z6	FA6	1.0
P60568	FRH	1.0
Q13526	4F8	1.0
P08263	EAA	0.690476190476
P62993	DTF	1.0
P27707	GNG	0.624155405405
P48736	MMD	0.789189189189
Q02127	MD7	0.429799426934
P00374	MXA	1.0
P00375	MTX	1.0
P00800	RDF	0.66265060241
P28702	LG2	1.0
P43405	STI	1.0
Q16773	IAC	0.918604651163
Q00960	QEL	1.0
P08581	320	1.0
P80457	XAN	0.936507936508
P0A514	TPF	0.36170212766
P00390	ELI	0.4375
P0A017	RAR	1.0
Q4G2I1	QRP	0.882352941176
O67648	C90	1.0
Q03181	433	0.848739495798
O85361	NGT	1.0
P49137	F10	1.0
P34914	CDU	0.904761904762
P34913	MZL	0.902584493042
Q06187	1N1	1.0
P0A884	DDT	0.978517722879
Q47066	CLS	0.730769230769
Q14994	CID	0.95652173913
P37231	BRL	0.662981455064
P69905	RQ3	0.49504950495
P0ABQ4	817	1.0
P27338	RAS	1.0
P29373	REA	1.0
P29274	UKA	1.0
P62965	REA	1.0
P64012	FOM	1.0
Q9XZT6	THM	0.587519025875
Q9Y2T3	XAN	1.0
Q13464	Y27	1.0
P14902	PIM	1.0
Q02763	MR9	1.0
Q15078	IXM	1.0
P15090	F8A	1.0
P24941	DT4	1.0
P19091	DHT	0.8
P49354	778	0.296875
P49356	778	0.505208333333
P0AC13	SAN	0.7
Q15375	IHZ	1.0
P05091	BXB	1.0
P09467	2T0	1.0
P29473	JRR	0.89201183432
P29476	JRR	0.885714285714
P29477	AGU	1.0
P29474	7NI	1.0
O60218	TOL	0.722222222222
P21397	MLG	1.0
P21396	MLG	0.260273972603
P11473	O1C	0.848275862069
O94760	D20	1.0
Q92731	MON	0.995266272189
P80276	TOL	0.777777777778
P08631	L2G	0.894736842105
P10827	IH5	0.838461538462
P29597	IZA	1.0
P36897	55F	0.987761346252
Q08881	B49	1.0
P00533	IRE	0.981220657277
P19793	REA	0.981941309255
P07333	5CN	1.0
P05979	IM8	0.861313868613
P11172	5FU	0.700826446281
P02753	RTL	0.888888888889
P08709	413	0.537931034483
P14555	GEL	0.710344827586
P0A6K3	BB1	1.0
P10828	OEF	0.907158836689
P35557	MRK	0.937931034483
P08684	MYT	1.0
P35558	TSX	1.0
P35228	AT2	1.0
P00327	CXF	0.916666666667
P00325	HPL	0.92
P0A6D3	S3P	1.0
O60674	AZ5	1.0
Q16790	AZM	0.5
Q16602	N7R	0.863636363636
P30418	MIM	0.868852459016
P56109	PH4	1.0
P02879	7DG	1.0
P42892	RDF	0.9
P98170	X22	0.960295240519
P14174	HDI	0.917874396135
P06737	IHU	0.521052631579
P53350	071	1.0
P0AE18	YE6	1.0
P45984	B96	1.0
P14920	G3E	1.0
Q13133	O90	0.90977443609
P45983	877	1.0
Q04609	GLU	1.0
P52732	N2T	1.0
P15207	LG7	0.85046728972
P00669	C5P	0.829694323144
P50120	RTL	1.0
P00742	LZF	0.178480552526
P00749	136	0.918737407656
O26232	6CN	1.0
O76074	VDN	1.0
O75173	886	0.96261682243
Q9UHL4	OPY	1.0
P20701	2IC	0.826704545455
P03474	RAI	1.0
P42260	QUS	0.813586097946
B2RXH2	PD2	0.903225806452
P49841	TMU	0.993474714519
O95050	SAH	1.0
P04278	NOG	0.558035714286
P09211	EAA	0.818181818182
P03951	716	0.923076923077
P11509	D2G	1.0
Q00796	572	0.859649122807
P02791	PFL	1.0
P13053	VDB	0.838926174497
P08238	PU3	0.947368421053
P53779	255	0.986206896552
Q9UGN5	78P	1.0
P00491	IMH	1.0
P00797	A5T	0.775256222548
P27487	B1Q	0.934772182254
P78536	4NH	1.0
Q16644	F10	1.0
P0A953	TLM	0.702702702703
O15530	LI8	0.993150684932
Q9R1M7	1AC	0.810810810811
P00811	105	0.987598647125
P22906	TQ3	1.0
Q16769	PBD	1.0
P23687	ZPR	0.857142857143
O75469	444	0.42
P31939	AMZ	0.725
P00381	MTX	1.0
P0C6U8	F3F	0.238095238095
O32449	PTB	0.8
P35462	ETQ	1.0
P04150	GW6	1.0
O14757	76A	1.0
Q13627	HRM	1.0
P15474	FA1	1.0
P20292	2CS	1.0
Q9T0N8	ZIP	1.0
Q6GI75	TCL	1.0
O96017	WTJ	1.0
Q81R22	EKB	1.0
O60894	N7R	1.0
Q96RI1	82X	0.9264
O76083	IBM	0.926229508197
Q04828	C2U	0.769230769231
P00808	CIT	1.0
Q04631	778	0.757575757576
P06762	224	1.0
Q06124	JZG	1.0
Q836J0	DGL	0.931506849315
P00636	CLI	0.906464924347
P58154	NCT	1.0
Q07343	VDN	0.537995337995
P19120	ADP	1.0
P31422	52A	0.93288590604
P19493	GLU	0.969696969697
P19492	GLU	0.989726027397
P19491	HA7	0.963338348246
P17612	796	0.962962962963
P55859	HA1	1.0
P07949	X2K	1.0
P05089	2AI	1.0
O96935	D66	0.984615384615
Q13255	Z99	0.9375
Q16678	BHF	1.0
P43235	IHE	0.69340974212
P22756	GLU	0.925581395349
Q9HBH1	BB2	0.690476190476
P28700	REA	0.852040816327
P11387	M38	1.0
P29466	OQB	1.0
Q02880	EVP	0.947368421053
P61073	ITD	0.954166666667
P28482	33A	1.0
P08235	AS4	1.0
P28720	BDI	0.718309859155
Q92831	COA	0.9
Q9BJJ9	TCL	1.0
Q9UNA0	LA3	1.0
P28845	A49	0.556161395856
P00918	R21	0.993670886076
P00520	STJ	0.96862745098
P00523	1N1	1.0
Q15119	TF1	0.825
Q15118	TF4	1.0
P00915	AZM	1.0
Q9QYJ6	PF6	0.929824561404
P08514	NIF	0.0
P43166	AZM	1.0
P53686	NCA	0.909090909091
P10760	DEA	1.0
Q81VW8	B61	0.905292479109
P62937	SFA	1.0
Q15418	P01	1.0
P19971	CMU	1.0
P14324	210	0.798283261803
Q9GPG0	TFC	1.0
O05891	ATM	1.0
P06239	AM6	1.0
P50750	CPB	1.0
P68400	4B0	0.986885245902
O30463	TOP	1.0
P31751	GVP	1.0
P39900	D3X	1.0
P04062	NBV	1.0
P35439	GLU	0.940789473684
P14061	E2B	0.356617647059
Q9KPI8	BIG	1.0
P50135	C2M	0.547738693467
P0AEK4	826	0.970319634703
P11474	047	0.808510638298
P42262	GLU	1.0
P97612	F27	1.0
P12931	822	0.3630831643
P15813	AGH	0.0
Q8II92	DUX	0.94
P03956	PLH	1.0
P10415	DRO	0.486111111111
P55263	5I5	0.71568627451
Q62645	GLU	0.863636363636
P68871	RQ3	0.544554455446
P07900	GDM	0.995055624227
P33905	LAE	0.974358974359
Q51504	AZR	1.0
Q15303	FMM	0.913043478261
P02550	TXL	0.782608695652
P14618	3SZ	0.635838150289
P09237	RSS	1.0
P0A546	TOP	1.0
Q70I53	SHH	0.904761904762
O35627	ATE	0.921824104235
O43451	MIG	0.777777777778
Q820T1	B82	0.540229885057
P21836	SCK	1.0
P11086	TMJ	0.77807486631
Q8WUI4	SHH	1.0
O34667	H1D	1.0
P07550	TIM	1.0
Q48255	CIT	1.0
P06935	NKK	0.9875
Q8N1Q1	AZM	1.0
P08246	SEI	1.0
P17948	8ST	1.0
Q92769	LLX	1.0
Q16719	3XH	0.875
P39086	GLU	1.0
Q14289	P1E	1.0
Q00987	DIZ	0.817307692308
P42336	KWT	0.75
P45452	RS1	1.0
P22894	EIN	1.0
P42330	ASD	0.693548387097
P15917	915	1.0
Q9NWT6	OGA	0.955056179775
Q9KU37	NP6	1.0
Q01469	PLM	1.0
Q14831	Z99	0.928571428571
O15648	ATP	0.781609195402
P00734	DI2	0.69656133829
P00735	MID	0.583333333333
P00730	DCY	0.933333333333
P05413	PLM	1.0
Q9Y233	EV1	1.0
P22411	007	0.941176470588
P42345	RAP	0.44
Q9H2K2	XAV	1.0
O64411	DIA	1.0
P0A512	PIM	1.0
P62508	DES	0.961190168176
P46925	TIT	0.32
P48449	R71	0.0714285714286
O00214	LAT	1.0
P11309	VX2	0.261780104712
O00182	LAT	1.0
P26358	SAH	1.0
Q6B0I6	OGA	1.0
O14965	ATP	1.0
P09960	11X	0.9968
P62942	GPI	0.970350404313
P41594	GLU	0.931034482759
P54300	AI2	1.0
P11838	V15	0.4
P09874	A92	0.410646387833
P05132	ADP	0.873626373626
P22748	AG4	0.935742971888
P27815	NPV	0.842105263158
Q16539	358	1.0
Q00688	RAP	1.0
Q9H3R0	OGA	0.925925925926
P28329	COA	1.0
P04191	TG1	0.685744016649
Q07817	N3C	0.871287128713
Q9H9B1	Q4A	0.8
P11444	RMN	0.607142857143
Q07869	471	0.945273631841
P36873	CYU	0.884057971014
P00519	VX6	1.0
P04818	7PA	1.0
P00517	IQB	0.96
P0AES6	NOV	1.0
P17252	LW4	1.0
Q9Y6F1	GAB	1.0
P33981	537	1.0
Q05769	IMN	0.723404255319
Q9BY41	AGE	1.0
Q9GZT9	OGA	0.804020100503
Q12051	B75	1.0
P62158	TFP	0.933333333333
P13922	WRA	0.509090909091
P22605	REA	0.766081871345
P00469	CB3	1.0
Q6UCJ9	TCL	1.0
P15056	BAX	1.0
P09955	720	1.0
P42574	MSI	0.548262548263
