target	pPfam
O35346	1.0
P0AFI5	1.0
P30285	1.0
Q01813	1.0
Q07422	0.625
O76039	1.0
Q9Y2T3	1.0
P16638	0.0
Q15375	1.0
P04409	1.0
Q9P0L2	1.0
P29476	1.0
Q9Y616	1.0
Q9QZX7	1.0
P08631	1.0
P05480	1.0
P20138	1.0
P00533	1.0
P00530	1.0
Q8MU52	1.0
P01008	0.666666666667
P08709	1.0
P43155	1.0
Q13002	0.5
Q9H1R3	1.0
P09038	1.0
Q5VT25	1.0
Q99986	1.0
P52623	1.0
P17858	1.0
Q9H7Z7	1.0
Q9H422	1.0
P48319	0.0
P53355	1.0
P53350	1.0
O43781	1.0
Q13131	1.0
Q27686	1.0
P41972	0.75
Q04609	1.0
P00669	1.0
Q3ZCJ8	1.0
P07896	1.0
O94806	1.0
O94804	1.0
Q8WXQ8	1.0
Q64437	0.666666666667
Q9UEE5	1.0
P26255	1.0
O88351	1.0
P07872	1.0
Q62120	1.0
Q9H227	1.0
Q63704	1.0
Q63707	1.0
Q8TD19	1.0
P11217	0.0
Q91WR5	1.0
Q8VH37	1.0
Q16512	1.0
Q16513	1.0
P97321	1.0
Q9GJU1	1.0
P97852	1.0
A4XI97	1.0
Q9JI10	1.0
P40935	1.0
P11509	1.0
Q96RR4	1.0
A3RGC1	0.666666666667
P56937	1.0
P04174	1.0
P18266	1.0
P47820	1.0
P50416	1.0
Q9Y5B8	1.0
O14684	1.0
Q6GI89	1.0
Q16644	1.0
Q9CWJ9	0.666666666667
P16184	1.0
O15530	1.0
Q8BSK8	1.0
P50096	1.0
P50250	1.0
Q7L7X3	1.0
P80192	1.0
P17105	0.75
O14757	1.0
P16455	1.0
P80041	1.0
P10586	1.0
O95835	1.0
P10584	1.0
P51617	1.0
P06608	1.0
P14618	1.0
Q15208	1.0
Q9H2K8	1.0
Q06124	1.0
Q60737	1.0
Q07343	1.0
P78368	1.0
Q60641	0.75
P78362	1.0
Q0PXQ5	1.0
P09488	1.0
Q00194	1.0
Q15349	1.0
Q6VNS1	1.0
P60174	1.0
P11980	1.0
Q75VQ4	1.0
P28482	1.0
O75414	1.0
P28332	1.0
P39045	1.0
P00521	1.0
P20916	0.0
P00523	1.0
Q8IVW4	1.0
P20917	0.0
P05230	1.0
O25801	1.0
O00519	1.0
Q62868	1.0
Q9QYJ6	1.0
P35821	1.0
P08516	1.0
P46664	1.0
Q99661	1.0
P08049	1.0
P15531	1.0
Q01558	0.8
P35626	1.0
P18298	1.0
P68404	1.0
P68400	1.0
P68403	1.0
Q02928	1.0
Q15835	1.0
Q15831	1.0
Q9UHD2	1.0
Q581W1	1.0
P63709	1.0
P00186	1.0
P04745	0.666666666667
P04746	0.666666666667
Q9KPI8	1.0
Q02858	1.0
P0AEK4	1.0
P54748	1.0
Q9HCP0	1.0
P07864	1.0
Q62137	1.0
P07861	1.0
Q8TD08	1.0
Q99683	1.0
P14616	1.0
Q05655	1.0
Q14012	1.0
Q96BR1	1.0
P10938	1.0
P20839	1.0
Q15746	1.0
Q91V92	0.0
P40926	1.0
O43353	1.0
O14920	1.0
P11086	1.0
P15208	1.0
Q9JMK2	1.0
Q8BTH8	1.0
P47811	1.0
Q9NYY3	1.0
P19525	1.0
Q16654	1.0
Q16659	1.0
P48058	0.5
P50247	1.0
Q96NX5	1.0
O15648	1.0
P13807	1.0
P16444	1.0
P22412	1.0
P23786	1.0
Q53GQ0	1.0
O06934	1.0
P31152	1.0
P30711	1.0
P63945	1.0
O00214	1.0
O00182	1.0
P29218	1.0
P13716	1.0
P14920	1.0
P18910	1.0
P18265	1.0
P05131	1.0
Q92993	1.0
P17712	1.0
O54833	1.0
Q9BRS2	1.0
Q12974	1.0
P29322	1.0
P29323	1.0
P29320	1.0
Q13976	1.0
P28329	1.0
P57059	1.0
P43828	1.0
P09581	1.0
Q9BXR0	0.0
P02866	1.0
Q8IYT8	1.0
P20794	1.0
P00519	1.0
P00515	1.0
P00516	1.0
Q6GAT0	1.0
P00511	1.0
P08506	1.0
P48052	1.0
Q07869	0.75
P54577	1.0
Q5SWU9	1.0
Q8NFD2	1.0
P08473	1.0
P42680	1.0
P42681	1.0
P42684	1.0
P42685	1.0
P08185	1.0
Q61851	1.0
P00883	1.0
P54753	1.0
P54756	1.0
Q9Y3R4	0.666666666667
P49336	1.0
P02829	1.0
Q9UF33	1.0
P14604	1.0
Q8NER5	1.0
P68563	1.0
Q8IVH8	1.0
P97697	1.0
Q15759	1.0
P97477	1.0
P12822	1.0
P16056	1.0
P15085	1.0
Q16798	0.666666666667
Q64563	0.666666666667
A6H5Y3	0.75
P97584	0.75
P05696	1.0
P11708	1.0
Q8NG66	1.0
P0C6E9	0.0
P07327	0.666666666667
Q02156	1.0
P11413	1.0
P11412	1.0
P11411	1.0
Q00959	1.0
P50053	1.0
P51580	1.0
P0A6L2	1.0
P38489	1.0
P16277	1.0
Q9UQM7	1.0
P51451	1.0
P47809	1.0
Q8NE63	1.0
P34971	1.0
O70126	1.0
P30728	1.0
P10721	1.0
Q8WTS6	0.75
P07195	1.0
P13707	1.0
P70180	1.0
Q08493	1.0
Q9UQ49	0.666666666667
O00444	1.0
Q9Y2Q3	1.0
Q08499	1.0
Q6PID4	1.0
O95363	1.0
P17707	1.0
P17706	1.0
P06132	1.0
O15294	1.0
P13634	1.0
P18858	1.0
P51635	1.0
P04183	1.0
P78417	1.0
P04184	1.0
P35739	1.0
Q9BWU1	1.0
P20786	1.0
P00502	1.0
P00507	1.0
Q9L5C7	1.0
Q9Y243	1.0
P08069	1.0
P27791	1.0
Q9Y4K4	1.0
Q58DH9	0.0
Q9Y6K8	1.0
P08263	1.0
P21567	0.833333333333
O76083	1.0
P05369	1.0
O95382	1.0
P39069	1.0
Q9UPE1	1.0
Q13163	1.0
Q13164	1.0
P48321	0.0
Q9BXU1	0.0
O08663	1.0
P52564	1.0
Q9URB4	1.0
O51933	1.0
Q8N4C8	1.0
Q8IU85	1.0
Q9Y3S1	1.0
Q28044	1.0
Q8IW41	1.0
P08319	0.666666666667
Q5CGA3	1.0
P49185	1.0
P49186	1.0
P49187	1.0
Q8T8E9	1.0
Q2TB90	1.0
Q9WUI1	1.0
P07998	1.0
P20817	1.0
P09853	1.0
Q9XZT6	0.6
Q86X55	1.0
Q02763	1.0
P19091	1.0
Q99558	1.0
P07202	1.0
P07205	1.0
Q9Y5S2	1.0
O75038	1.0
O60218	1.0
P61168	1.0
P61169	1.0
P0ADG7	1.0
P80276	1.0
O94768	1.0
P36894	1.0
P36896	1.0
P36897	1.0
P21964	0.857142857143
P13956	1.0
Q62689	1.0
P07333	1.0
P07332	1.0
P04406	0.833333333333
Q13418	1.0
P14416	1.0
P11177	1.0
Q01984	0.714285714286
Q9BRC7	1.0
P10608	1.0
Q03142	1.0
P56109	1.0
O00238	1.0
P0AE18	1.0
P45984	1.0
P45985	1.0
P27881	1.0
P45983	1.0
P34927	1.0
P31040	1.0
P18440	1.0
P09104	1.0
O26232	1.0
P09455	1.0
O76074	1.0
P56218	1.0
Q12884	1.0
P70627	1.0
Q8ZLS1	1.0
Q873X9	1.0
O14578	1.0
P49841	1.0
P49840	1.0
P57078	1.0
P56073	1.0
P05202	1.0
P09210	1.0
P09211	1.0
Q9UKI8	1.0
P09215	1.0
P09216	1.0
P09217	1.0
Q9BZX2	1.0
P43378	1.0
P28161	1.0
Q86V86	1.0
P05132	1.0
P53778	1.0
P53779	1.0
Q9TT96	1.0
P39073	1.0
Q6B0I6	0.666666666667
Q92772	1.0
Q8G2R2	1.0
O14732	1.0
Q13177	1.0
Q9UEW8	1.0
Q9UI42	1.0
O94921	1.0
P08413	1.0
Q7KZI7	1.0
Q9P286	1.0
P26439	1.0
Q8N568	1.0
P15474	1.0
Q9P289	1.0
Q9T0N8	0.8
Q81R22	1.0
P26696	1.0
P14625	1.0
P32189	1.0
Q95334	1.0
Q63531	1.0
P21803	1.0
P21802	1.0
Q02779	1.0
P07947	1.0
Q8NY00	1.0
P07943	1.0
Q62763	1.0
P07948	1.0
P07949	1.0
Q05513	1.0
Q8QZT1	1.0
P11388	1.0
Q14680	1.0
P06494	1.0
P06493	1.0
P17252	1.0
P17256	0.25
P41516	1.0
Q9UNA4	1.0
P36888	1.0
P13945	1.0
P07306	1.0
Q06418	1.0
P10635	1.0
O35492	1.0
Q9HC98	1.0
P15289	1.0
P22939	1.0
Q13546	1.0
P12235	1.0
Q07075	1.0
Q8BRK8	1.0
Q8WTQ7	1.0
O54992	1.0
P10649	1.0
P18433	1.0
Q3UEI1	1.0
P00517	1.0
P05164	1.0
P13053	0.666666666667
P70618	1.0
O00311	1.0
Q15303	1.0
P29317	1.0
Q86UE8	1.0
Q5EGZ1	1.0
P0C002	0.714285714286
Q9Y463	1.0
O15217	0.5
P51813	1.0
P51812	1.0
P51817	1.0
P02787	1.0
P0C264	1.0
P43346	0.666666666667
P45974	1.0
P78329	1.0
O15146	1.0
P07550	1.0
Q60680	1.0
Q16832	1.0
P32577	1.0
P25911	1.0
Q05030	1.0
P18762	1.0
Q9Y6M4	1.0
P21588	1.0
P21589	1.0
O06414	1.0
O95819	1.0
P39086	0.5
Q8N3E9	1.0
P22985	1.0
P54833	1.0
P0C1S8	1.0
P52788	1.0
P52789	1.0
Q01469	1.0
P46734	1.0
P05413	1.0
P29410	1.0
P10398	1.0
Q6AYQ3	1.0
P35575	1.0
Q9H093	1.0
Q96SB4	1.0
Q922D8	1.0
Q99489	1.0
P32198	1.0
Q59487	1.0
P05771	1.0
P97821	1.0
Q5EG47	1.0
P14099	1.0
P11216	0.0
P16066	1.0
O14965	1.0
P97629	1.0
P23526	1.0
P52895	1.0
Q8K3U6	1.0
Q28156	1.0
Q2KJ64	1.0
P36507	1.0
Q6R3M4	1.0
P19367	1.0
Q6AY53	1.0
Q9NXG6	1.0
Q13557	1.0
P06242	1.0
Q13555	1.0
Q13554	1.0
P22455	1.0
Q96GD4	1.0
Q12051	1.0
P22694	1.0
P19961	0.666666666667
Q6UCJ9	1.0
P15056	1.0
P37059	1.0
Q96L34	1.0
Q9UQB9	1.0
Q13882	1.0
P40495	1.0
O00142	0.4
O00141	1.0
P40925	1.0
Q96KQ7	1.0
Q03164	0.5
P13444	1.0
O35435	1.0
Q9Y2R2	1.0
P52209	1.0
P51956	1.0
P51957	1.0
P05177	1.0
P51955	1.0
P09470	1.0
P09471	1.0
Q9BYF1	1.0
Q63644	1.0
P30043	1.0
P11974	1.0
Q12931	1.0
P55789	0.714285714286
P17752	1.0
P55786	1.0
P25103	1.0
P08922	1.0
Q86UX6	1.0
P35969	1.0
P35968	1.0
Q9UKG9	1.0
P56658	1.0
P18886	1.0
Q07912	1.0
O00764	1.0
Q9FBC5	1.0
O00763	1.0
Q9UM73	1.0
P51178	1.0
Q9BZL6	1.0
O75828	0.666666666667
P46439	1.0
Q9PPP5	1.0
Q9X034	1.0
P18088	0.0
P14270	1.0
P27987	0.75
P00939	1.0
P22392	1.0
P24723	1.0
Q13153	1.0
P96382	0.857142857143
P00689	1.0
P00338	1.0
Q6PHR2	1.0
P06213	1.0
P00336	1.0
Q05397	1.0
P07814	1.0
Q8WU08	1.0
P0AEB2	1.0
P46549	1.0
P22102	1.0
P14644	1.0
P14646	1.0
Q8NEV4	1.0
P24228	1.0
P76558	0.5
Q04759	1.0
P23458	1.0
P0AC13	0.714285714286
P05543	1.0
Q13085	1.0
P23457	1.0
P12821	1.0
P04049	1.0
Q86Z02	1.0
P61823	1.0
P0CG29	1.0
P45568	1.0
Q2M2I8	1.0
Q02750	1.0
P54645	1.0
P54646	1.0
P97633	1.0
Q9FUJ3	0.8
P22079	1.0
P22072	1.0
P27364	1.0
P27361	1.0
P11362	1.0
P11586	1.0
P0AF14	1.0
P0AF12	1.0
P48026	0.5
P38918	0.857142857143
Q8VNN2	1.0
P54001	1.0
P50233	1.0
P15735	1.0
O14730	1.0
P49674	1.0
O14733	1.0
Q9UBS0	1.0
P48730	1.0
P16232	1.0
P16234	1.0
P37023	1.0
Q16772	1.0
Q16773	1.0
P40394	0.666666666667
P63319	1.0
P63318	1.0
P10760	1.0
P69996	1.0
P28867	1.0
O88533	1.0
P0AFB5	1.0
Q9UJM8	1.0
P51788	0.666666666667
Q06187	1.0
P23109	1.0
P12104	1.0
Q03114	1.0
O00482	1.0
Q9UQ88	1.0
Q55663	1.0
P31074	1.0
Q52WX2	1.0
Q5E9B1	1.0
Q12923	1.0
P29376	1.0
P08911	1.0
Q9UBE8	1.0
P13674	1.0
O00506	1.0
P29973	1.0
P15848	1.0
P64012	1.0
Q93096	1.0
P06720	1.0
P24226	1.0
Q9UM07	1.0
P09467	1.0
P51160	1.0
Q12851	1.0
P46406	0.833333333333
Q01062	1.0
Q01063	1.0
P29597	1.0
Q9NRP7	1.0
P17516	1.0
Q01662	1.0
P02699	1.0
Q8TDR2	1.0
P02692	1.0
P53323	0.0
P54819	1.0
P35557	1.0
P00690	0.666666666667
P10173	1.0
P35558	1.0
Q9UGJ0	0.833333333333
P00327	0.666666666667
P00326	0.666666666667
P00325	0.666666666667
Q8N752	1.0
P35790	1.0
O60674	1.0
P00329	0.666666666667
P00328	0.666666666667
P15122	1.0
P07807	1.0
P42679	1.0
P02879	0.875
Q9HAZ1	1.0
Q01314	1.0
O75676	1.0
P16054	1.0
Q9NY57	1.0
Q925U2	1.0
P23443	1.0
Q9H3Y6	1.0
P00747	1.0
Q63844	1.0
Q64536	1.0
P12931	1.0
O64411	1.0
P03474	1.0
P03470	1.0
P03471	1.0
Q13188	1.0
Q9H9B1	0.666666666667
P51661	1.0
Q63206	1.0
P07379	1.0
P07378	1.0
Q9UPZ9	1.0
P15108	1.0
P07374	1.0
P63096	1.0
Q00526	1.0
P63092	1.0
Q16584	1.0
P33316	1.0
P03007	1.0
P13861	1.0
O60341	1.0
O60678	0.6
P48729	1.0
P22906	1.0
P31938	1.0
P31939	0.666666666667
Q8BK63	1.0
Q9ET01	0.0
P50172	1.0
Q6ZN16	1.0
P47897	1.0
P25051	0.666666666667
Q96KS0	1.0
Q13627	1.0
Q9BPW9	1.0
P55072	0.5
P51570	0.5
Q6GI75	1.0
Q8TDC3	1.0
P28827	1.0
P69328	1.0
P52961	1.0
Q04828	0.5
P20417	1.0
Q12913	1.0
O35077	1.0
Q9R088	0.6
O35078	1.0
Q9UKE5	1.0
P09250	1.0
P17612	1.0
P70712	1.0
P05089	1.0
O96935	1.0
P16586	1.0
Q04912	1.0
O00746	1.0
Q9Y233	1.0
Q3U3Q1	1.0
P07742	1.0
Q12866	1.0
P08235	1.0
P43428	1.0
P08237	1.0
Q9QXD6	1.0
P28720	0.0
P23291	1.0
P23292	1.0
Q01279	1.0
P00918	1.0
Q15119	1.0
Q15118	1.0
O89084	1.0
Q92918	1.0
P00915	1.0
P14174	1.0
Q9P2J5	1.0
Q9ZB22	1.0
Q9H4Y5	1.0
Q8TF76	1.0
P28650	1.0
P28652	1.0
P35235	1.0
P35236	1.0
P00352	1.0
P14324	1.0
Q9UIK4	1.0
P06239	1.0
Q96QT4	1.0
Q09137	1.0
P27144	1.0
Q04771	1.0
O07746	0.8
P23470	1.0
P52624	1.0
P35439	1.0
P35438	1.0
P35436	1.0
P14061	1.0
P14060	1.0
O43708	1.0
P42260	0.5
P42261	0.5
P42262	0.5
P42263	0.5
P97612	1.0
Q9GZT4	1.0
Q9GZT9	1.0
P19020	1.0
Q9NYL2	1.0
P10611	1.0
P68871	0.25
P07900	1.0
P07901	1.0
Q56UN5	1.0
P53667	1.0
P32019	1.0
P03468	1.0
P19112	1.0
P0A546	1.0
P07342	1.0
P19623	1.0
P48281	0.666666666667
O75116	1.0
P63085	1.0
P26637	1.0
P63086	1.0
Q29RK2	1.0
P17342	1.0
Q16719	1.0
P33013	1.0
Q9NWZ3	1.0
P38791	1.0
Q9NR20	1.0
P12277	1.0
Q9NWT6	1.0
Q9CQ65	1.0
Q9H0K1	1.0
Q62761	1.0
Q16620	1.0
Q03137	1.0
Q80ZG2	0.833333333333
Q60823	1.0
O54939	1.0
P70658	1.0
P50613	1.0
P41279	1.0
O54937	1.0
P30656	1.0
P17764	1.0
P21127	1.0
P29350	1.0
P50579	1.0
P06757	0.666666666667
Q9BUB5	1.0
P23819	0.5
P37173	1.0
Q90744	0.0
P34152	1.0
Q8N4T0	1.0
P39688	1.0
P16591	1.0
P27815	1.0
Q99759	1.0
O00757	1.0
O42392	1.0
Q12879	1.0
Q13873	1.0
P07752	1.0
P08754	1.0
P18090	1.0
B2RXH2	0.666666666667
P09623	1.0
P31323	1.0
P31322	1.0
P31321	1.0
Q8IY84	1.0
Q15120	1.0
P21708	1.0
P21709	1.0
Q9P2K8	1.0
O54735	1.0
P43250	1.0
Q9WTQ0	1.0
O08557	1.0
P00346	1.0
P00349	1.0
Q96LA8	0.6
Q08257	1.0
Q32MK0	1.0
P06240	1.0
P06241	1.0
P53582	1.0
P08373	0.0
Q389T8	0.916666666667
A9JQL9	1.0
Q28997	1.0
P08575	1.0
P23467	1.0
P23469	1.0
Q28998	1.0
P20273	0.0
P18031	1.0
O75582	1.0
P04075	1.0
P15559	1.0
P00760	1.0
Q9WV60	1.0
P54619	0.833333333333
O43283	1.0
P41252	1.0
P54616	1.0
Q8IWQ3	1.0
P53671	1.0
Q6P179	1.0
P05622	1.0
P16116	1.0
P15127	1.0
Q9H4B4	1.0
Q13470	1.0
P23677	0.75
P15121	1.0
Q86Y07	1.0
P22734	0.857142857143
Q16816	1.0
Q9Z1B7	1.0
P11247	1.0
Q16566	1.0
O60344	0.5
P0A5Y6	1.0
Q9UBT2	1.0
Q9QVP9	1.0
P23920	1.0
Q64669	1.0
Q64666	1.0
Q9WUS0	1.0
P11798	1.0
P11799	1.0
P56965	1.0
P12268	1.0
P41743	1.0
P34947	1.0
Q9BYT3	1.0
P23818	0.5
P50578	1.0
P15309	1.0
Q5S007	1.0
P13221	1.0
Q9BVS4	1.0
P09382	1.0
Q6P8J2	0.666666666667
P47989	1.0
Q01196	1.0
P17157	1.0
Q03013	1.0
P80365	1.0
P23921	1.0
Q07002	1.0
P51647	1.0
P52333	1.0
P52332	1.0
P51649	1.0
P11802	1.0
Q15046	1.0
P12928	1.0
O15111	1.0
Q90YJ9	1.0
P28523	1.0
P20711	1.0
Q6P3R8	1.0
Q9H2F3	1.0
P25098	1.0
Q61214	1.0
P35329	0.0
P09619	1.0
Q7REH6	0.0
P00970	1.0
Q9Y2K2	1.0
Q01782	1.0
Q15139	1.0
P24547	1.0
Q9H2X6	1.0
P39748	1.0
Q01433	1.0
Q01432	1.0
P00489	0.0
P23385	0.8
O75914	1.0
P00480	1.0
P0A4Z6	1.0
O75469	1.0
P09769	1.0
O75460	1.0
P00378	1.0
P27707	0.666666666667
P00374	1.0
O08565	1.0
P00376	1.0
P00371	1.0
P43405	1.0
P08588	1.0
P43403	1.0
P25962	1.0
P08581	1.0
P07683	1.0
P0A017	1.0
Q13285	1.0
P49138	1.0
P49137	1.0
Q04796	1.0
Q13043	1.0
Q01320	1.0
P20288	1.0
Q9NRM7	1.0
P41241	1.0
P41240	1.0
O43293	1.0
Q05209	1.0
Q99259	0.0
P19139	1.0
Q13464	1.0
P70600	1.0
P24941	1.0
Q28037	0.666666666667
P15791	1.0
Q16822	1.0
P11497	1.0
Q16825	1.0
P04905	1.0
P04904	1.0
P26618	1.0
P11473	0.666666666667
P50294	1.0
P50295	1.0
P48775	1.0
P48776	1.0
Q63470	1.0
P22629	1.0
Q08881	1.0
Q64617	1.0
Q96KB5	1.0
P36551	1.0
Q86YV6	1.0
P14550	1.0
Q9EST2	0.714285714286
P30520	1.0
Q64725	1.0
Q962Y6	0.888888888889
Q4JIM5	1.0
P11678	1.0
Q97SG0	0.5
P13234	1.0
P06732	1.0
P06733	1.0
P06737	0.0
Q4QR99	0.0
O05891	1.0
Q7Z4W1	1.0
Q13705	1.0
P15207	1.0
P50120	1.0
Q9HBY8	1.0
P50123	1.0
Q07010	0.333333333333
P70032	1.0
Q07014	1.0
Q9DC28	1.0
P51659	1.0
P56192	1.0
P47199	1.0
P47196	1.0
Q9H2G2	1.0
Q6DT37	1.0
Q9Z2W9	0.5
Q9Z2W8	0.5
O95050	1.0
P04274	1.0
P02706	1.0
Q9NZJ5	1.0
Q27793	1.0
P35916	1.0
P35917	1.0
P35918	1.0
P23395	1.0
P43057	1.0
P00492	0.333333333333
Q08345	1.0
Q9UK32	1.0
P35590	1.0
Q96Q40	1.0
Q10711	0.5
O85361	1.0
P00366	0.833333333333
P00813	1.0
O15305	0.833333333333
P00569	1.0
P00568	1.0
P00560	1.0
P00563	1.0
Q59H18	1.0
P00381	1.0
P24627	1.0
Q05329	0.0
P35462	1.0
P46626	1.0
P08482	1.0
P08483	1.0
P24752	1.0
O96017	1.0
O96013	1.0
Q9UIQ6	1.0
Q96RI1	0.75
Q99714	1.0
Q63065	1.0
Q5SWX4	1.0
Q27713	0.857142857143
P52702	1.0
P28845	1.0
P00636	1.0
P00375	1.0
Q14164	1.0
P97772	0.8
Q8WXR4	1.0
P19493	0.5
P19492	0.5
P19491	0.5
P19490	1.0
P97793	1.0
Q16831	1.0
P45040	1.0
Q13255	0.8
P49366	1.0
P22756	0.5
Q9WVG6	1.0
P11440	1.0
P61073	1.0
P11444	0.0
Q8N5S9	1.0
Q9BJJ9	1.0
Q9NUW8	1.0
Q64605	1.0
Q64604	1.0
O43318	1.0
P04806	1.0
P04807	1.0
P48163	0.666666666667
Q9BQI3	1.0
P19784	1.0
Q923T9	1.0
P30530	1.0
Q64737	1.0
Q96PY6	1.0
P49759	1.0
Q15418	1.0
Q9BX84	1.0
Q95L14	1.0
P11245	0.8
P50750	1.0
O30463	1.0
P31750	1.0
P31751	1.0
Q9NQU5	1.0
Q840M4	1.0
P20456	1.0
Q06486	1.0
Q9NSY1	1.0
Q15569	1.0
P50135	0.714285714286
P80385	0.833333333333
Q7TNJ7	1.0
P03958	1.0
P15813	0.0
P29411	1.0
P21643	1.0
Q9BZP6	1.0
P27824	1.0
Q837B3	1.0
P83916	1.0
P29074	1.0
P28074	1.0
P35695	1.0
P00959	1.0
P00956	1.0
O15264	1.0
Q7RTV2	1.0
P08164	1.0
P68181	1.0
P05129	1.0
Q48255	1.0
P17948	1.0
P00558	1.0
P28272	1.0
P29678	1.0
P20444	1.0
Q14289	1.0
Q99873	0.6
P42335	0.75
P42330	1.0
P08019	1.0
Q9UL54	1.0
P08543	1.0
P08010	1.0
Q93084	1.0
P00730	1.0
Q9HBH9	1.0
Q9QYY9	0.75
Q4KWH8	1.0
P53396	0.0
Q14376	1.0
P27037	1.0
Q13395	1.0
Q96PF2	1.0
O60285	1.0
O75716	1.0
P11309	1.0
P32298	1.0
Q8IIJ9	1.0
Q14117	1.0
P06479	1.0
Q9NZ08	1.0
Q96HE7	1.0
P13929	1.0
P07382	1.0
Q9H4A3	1.0
P11275	1.0
P05708	1.0
Q9GK37	1.0
Q16539	1.0
Q9H3R0	0.666666666667
P41682	0.666666666667
P21860	1.0
P23298	1.0
P22607	1.0
P16098	1.0
Q16288	1.0
P16092	1.0
Q16280	1.0
Q16281	1.0
O15460	1.0
P08238	1.0
P33981	1.0
Q9BY41	1.0
Q29495	1.0
P49760	1.0
P49761	1.0
P0A9J4	1.0
P22518	1.0
Q02111	1.0
P21266	1.0
P22513	0.833333333333
P13922	0.727272727273
P37058	1.0
